ID Grupo X Y Forma_tumba Orientacion_tumba Construcciones_internas Sexo Rango_de_edad Categoria_edad Estadio_edad Datacion_propuesta Tipo_objetos Orfebreria Num_orfebreria Esmeraldas Num_esmeraldas Volantes Num_volantes Num_Herrera Num_Temprano Num_Tardio Ceramica Num_Ceramica Liticos Num_liticos Cuentas_collar Num_cuentas_collar Fauna Num_fauna2 Macrorrestos Num_macrorrestos
109.24.0.2.0. 1 977008.5073 997305.24 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.27.4.0.1. 1 977011.5396 997303.1723 Pozo_con_camara E Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.28,28A.2.0.1. 1 977013.3566 997304.3789 Pozo_simple O Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.3.0.4.0. 1 977017.6323 997309.581 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.35,56.0.5.0. 1 977020.8675 997308.1575 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.36.0.1.0. 1 977013.3808 997302.6205 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.37.0.7.0. 1 977013.8878 997301.0231 Pozo_con_doble_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.38.0.6.0. 1 977012.7747 997299.6729 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.40.0.9.0. 1 977010.6314 997298.4917 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.41.0.11.0. 1 977007.9043 997301.5149 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.42.3.0.1. 1 977007.493 997300.2909 Pozo_simple S Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.47.0.8.0. 1 977013.3044 997297.3214 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.49.0.3.0. 1 977014.8881 997298.9721 Pozo_con_camara NA Varias NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.9.0.10.0. 1 977010.3834 997307.4995 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.100.0.2.0. 3 977161.1124 997385.5862 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
11.102.0.3.0. 3 977158.0305 997381.4714 Pozo_simple NA Escalon NA NA NA NA Tardio 1 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 1 1
11.104.2.0.1. 3 977156.7497 997387.5519 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.104.2.0.2. 3 977156.7479 997387.4077 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.114.12.0.1. 3 977171.9983 997374.9024 Pozo_simple S Escalon NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.115.10.0.1. 3 977172.4107 997382.3695 Pozo_con_camara NA Ninguna NA 9_años_+/-_24_meses Subadulto Infantil_II NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.127.17.0.1. 3 977170.7748 997393.6609 Pozo_con_camara Otra Escalon NA 4_años_+/-_12_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.13,14,15,16,17.0.1.0. 3 977171.1135 997402.9576 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.163.0.4.0. 3 977152.4372 997386.3105 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.220.13.0.1. 3 977171.0107 997405.7785 Pozo_simple Otra Ninguna Masculino NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
11.236.0.5.0. 3 977142.8398 997406.9573 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.238.8.0.1. 3 977144.4494 997407.8182 NA NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.239.0.6.0. 3 977144.7857 997386.3611 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.267.9.0.1. 3 977145.9738 997407.6779 Pozo_con_camara N Ninguna NA 5_años_+/-_16_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.279.0.7.0. 3 977159.7828 997409.8366 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.288.5.0.1. 3 977151.4314 997406.8593 Pozo_simple NA Lajas NA 5_años_+/-_16_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.288.5.0.2. 3 977150.9287 997406.8441 Pozo_simple NA Lajas NA Mayor_de_18_años Adulto Adulto NA 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
11.294.0.8.0. 3 977146.1034 997404.5498 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.304.0.9.0. 3 977149.6764 997408.3187 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.309.0.13.0. 3 977152.0808 997409.1483 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.332,333.0.10.0. 3 977144.2069 997381.1261 Pozo_simple NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.336.0.12.0. 3 977148.0518 997374.7083 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.337.3.0.1. 3 977148.6426 997375.0337 NA NA Ninguna NA 10_años_+/-_30_meses Subadulto Infantil_II NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.354A,354B.0.14.0. 3 977143.0228 997416.3881 Doble_pozo NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.367.20.0.1. 3 977171.2171 997379.7161 Pozo_con_camara NA Lajas NA 4_años_+/-_12_meses Subadulto Infantil_I NA 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
11.377.0.15.0. 3 977155.6604 997415.6396 Pozo_simple NA Ninguna NA NA NA NA NA 1 0 0 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0
11.378.0.16.0. 3 977157.5759 997415.1447 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5
11.436.0.17.0. 3 977168.5781 997419.5923 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.48.1.0.1. 3 977168.2323 997398.8533 NA NA Ninguna NA 7_años_+/-_24_meses Subadulto Infantil_II NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.52.0.11.0. 3 977170.1979 997395.1513 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.534.11.0.1. 3 977156.2489 997419.1185 Pozo_simple N Ninguna NA 4_años_+/-_12_meses Subadulto Infantil_I Tardio 1 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0
11.534.11.0.2. 3 977156.2223 997418.929 Pozo_simple N Ninguna NA NA NA NA Tardio 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.629.14.0.1. 3 977154.1264 997395.315 Pozo_con_camara E Escalon NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.630.15.0.1. 3 977153.7951 997389.5543 Pozo_con_camara E Escalon Indeterminado NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.645.16.0.1. 3 977170.9339 997412.047 NA NA Ninguna NA 10_años_+/-_30_meses Subadulto Infantil_II NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
11.653.18.0.1. 3 977170.8282 997383.7504 NA S Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.678.19.0.1. 3 977170.9003 997386.6297 Pozo_simple N Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.680.21.0.1. 3 977144.8185 997413.6397 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.76.6.0.1. 3 977169.4137 997381.0704 Pozo_simple NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
11.76.7.0.1. 3 977168.4152 997380.7959 Pozo_simple NA Escalon NA 15_años_+/-_36_meses Subadulto Juvenil NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11.80.4.0.1. 3 977166.7792 997382.8705 Pozo_con_camara S Escalon NA Mayor_de_18_años Adulto Adulto Tardio 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
11.80.4.0.2. 3 977166.7542 997383.1563 Pozo_con_camara S Escalon NA Mayor_de_18_años Adulto Adulto Tardio 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
111.2.1.0.1. 1 976967.3671 997396.6387 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
112.20.0.1.0. 1 976974.9748 997368.2139 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
113.5.0.1.0. 1 976981.2595 997347.983 Pozo_simple NA Ninguna NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 19 0 0 0 0 0 0
114.4.0.1.0. 1 976985.0497 997330.7092 NA NA Escalon NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 7
114.5.0.2.0. 1 976991.8468 997332.2759 NA NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
114.7.2.0.1. 1 976985.4099 997328.3213 Pozo_simple E Ninguna NA 15_años_+/-_36_meses Subadulto Juvenil NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
114.9.1.0.1. 1 976980.4071 997326.7387 Pozo_simple E Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115.14.3.0.1. 1 976987.1261 997317.3466 Pozo_con_doble_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115.18.0.2.0. 1 976996.1243 997315.358 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115.20.0.3.0. 1 976997.848 997313.7429 Pozo_con_camara NA Lajas NA NA NA NA Tardio 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
115.22.1.0.1. 1 976994.8476 997311.8656 Pozo_con_camara NA Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115.24.0.1.0. 1 976986.0136 997308.0253 Pozo_con_camara NA Varias NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115.34.2.0.1. 1 976993.0139 997307.7629 Pozo_con_camara NA Escalon NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115.36.4.0.0. 1 976991.7814 997307.4067 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.13.0.6.0. 1 976989.2172 997303.5091 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.13A.7.0.1. 1 976988.8918 997300.1918 Pozo_simple NA Ninguna NA 7_años_+/-_24_meses Subadulto Infantil_II NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.14.0.9.0. 1 976989.7659 997302.423 Pozo_con_camara NA Escalon NA NA NA NA Temprano 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 3
116.14A.8.0.1. 1 976988.5928 997301.6345 Pozo_con_camara NA Escalon NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
116.19.0.5.0. 1 976994.4682 997301.8839 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.20.0.10.0. 1 976995.2507 997300.2243 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 17
116.22.0.11.0. 1 976991.9619 997301.6431 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
116.23.0.1.0. 1 976991.4051 997299.4882 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.23A.0.2.0. 1 976991.825 997298.7635 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.28.6.0.1. 1 976989.7607 997295.4452 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.29.4.0.1. 1 976991.0957 997296.7285 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.30.0.3.0. 1 976994.7364 997297.9543 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.33.0.4.0. 1 976998.3843 997300.4552 Pozo_con_camara NA Ninguna NA NA NA NA NA 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
116.34.0.14.0. 1 977000.7266 997298.8672 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.34A.10.0.1. 1 976999.703 997299.0855 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.35.0.7.0. 1 976999.894 997297.5199 Pozo_con_camara NA Escalon NA NA NA NA NA 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
116.36.12.0.1. 1 976998.5416 997297.4231 Pozo_simple NA Escalon NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.37.2.0.1. 1 976995.0386 997294.006 Pozo_simple NA Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.37.2.0.2. 1 976994.8577 997294.0982 Pozo_simple NA Ninguna NA 6_años_+/-_24_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.40.9.0.1. 1 976990.5378 997295.0812 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.43.3.0.1. 1 976993.091 997291.3298 Pozo_simple NA Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.46.0.8.0. 1 976989.4946 997290.2159 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.50.1.0.1. 1 976992.8155 997288.7999 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.52.0.12.0. 1 976987.4674 997293.3868 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116.57.11.0.1. 1 976991.3239 997303.3802 Pozo_simple NA Ninguna NA NA NA NA NA 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
116.58.5.0.1. 1 976988.3644 997296.7758 NA NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
117.6.2.0.1. 1 976990.5125 997283.8893 NA NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11A.23.0.0.NI1. 3 977149.1169 997424.3846 NA NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 11
12.2,20.1.0.1. 3 977131.5815 997454.7516 Pozo_con_camara NA Escalon NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2
14.15.1.0.1. 4 977202.6818 997493.0841 Pozo_simple O Ninguna NA 10_años_+/-_30_meses Subadulto Infantil_II NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0
14.16.4.0.1. 4 977204.028 997493.473 Pozo_simple NA Ninguna NA 8_años_+/-_24_meses Subadulto Infantil_II NA 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
14.17.0.1.0. 4 977204.5209 997496.5725 Pozo_simple NA Varias NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14.2.2.0.1. 4 977212.4419 997499.2866 Pozo_simple E Ninguna NA 2_años_+/-_8_meses Subadulto Infantil_I NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0
14.20.0.2.0. 4 977214.2767 997496.9084 Pozo_simple NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14.3.5.0.1. 4 977207.2102 997505.4159 Pozo_con_camara E Escalon NA Mayor_de_18_años Adulto Adulto NA 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3
14.5.3.0.1. 4 977207.8959 997497.0156 Pozo_simple Otra Ninguna NA 6_años_+/-_24_meses Subadulto Infantil_I NA 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15.31.2.0.1. 4 977204.9238 997482.2299 Pozo_con_doble_camara S Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15.61.1.0.1. 4 977219.9688 997468.533 Pozo_simple NA Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15A.5.1.0.1. 4 977208.489 997484.1944 Pozo_con_camara E Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.10.1.0.1. 3 977216.6646 997453.9266 Pozo_simple E Ninguna NA 3_años_+/-_12_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
16.13.3.0.1. 3 977223.3131 997451.5128 Pozo_con_camara S Ninguna NA 3_años_+/-_12_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
